Year.Reported.to.CDP,Account.Number,Organization,City,Country,CDP.Region,Reporting.Authority,Access,City.wide.emissions.inventory,Accounting.year,Administrative.city.boundary,Inventory.boundary..compared.to.Administrative.city.boundary.,Primary.Protocol,Primary.Protocol.Comment,Common.Reporting.Framework.inventory.format..GPC.,Gases.Included,Direct.emissions..metric.tonnes.CO2e..for.Total.generation.of.grid.supplied.energy,Direct.emissions..metric.tonnes.CO2e..for.Total.emissions..excluding.generation.of.grid.supplied.energy.,Indirect.emissions.from.use.of.grid.supplied.energy..metric.tonnes.CO2e..for.Total.generation.of.grid.supplied.energy,Indirect.emissions.from.use.of.grid.supplied.energy..metric.tonnes.CO2e..for.Total.Emissions..excluding.generation.of.grid.supplied.energy.,Emissions.occurring.outside.city.boundary..metric.tonnes.CO2e..for.Total.Generation.of.grid.supplied.energy,Emissions.occurring.outside.city.boundary..metric.tonnes.CO2e..for.Total.Emissions..excluding.generation.of.grid.supplied.energy.,TOTAL.Scope.1.Emissions..metric.tonnes.CO2e.,TOTAL.Scope.2.emissions..metric.tonnes.CO2e.,TOTAL.Scope.3.Emissions,TOTAL.BASIC.Emissions..GPC.,TOTAL.BASIC+Emissions..GPC.,Change.in.emissions,Primary.reason.for.the.change.in.emissions,Land.area..in.square.km.,Population,Population.Year,City.Location,Last.update.
2019,54656,Prefeitura de Vinhedo,Vinhedo,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,NA,Same- covers entire city and nothing else,Other,"Para atender a essa necessidade, a iniciativa do GHG Protocol do World Resources Institute estabeleceu parceria internacional com a rede C40 Cities Climate Leadership Group e com o ICLEI ü?? Governos Locais pela Sustentabilidade, que t??m atuado fortemente em suas redes de cidades e governos locais para promover a integra????o da sustentabilidade em suas pr??ticas e opera???ëes. O resultado dessa parceria ?? a ferramenta Global Protocol for Community-Scale GHG Emissions- GPC.Esta metodologia tem sido indicada como ideal em diversos f??runs nacionais e internacionais, pois trata-se de uma iniciativa pioneira que ambiciona a harmoniza????o de v??rias metodologias de invent??rios, por??m com um espectro espec??fico para munic??pios, criando, assim, bases comparativas para a apresenta????o de resultados.",,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",NA,NA,NA,NA,NA,NA,NA,33771.55,6469.04,NA,NA,This is our first year of calculation,,NA,77308,2019,POINT (-46.9838 -23.0307),2020-05-01T03:57:57.217
2019,73787,Tapalqu??,,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,NA,,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",NA,446872.6,NA,41691,NA,676.92,NA,NA,NA,NA,NA,Do not know,Lack of documentation,NA,9178,21,,2020-05-01T03:57:57.217
2019,50568,City of Saskatoon,Saskatoon,Canada,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,NA,Same- covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Basic+ guidelines followed,No,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",NA,NA,NA,NA,NA,NA,2133712,1232849,347331,NA,3713892,Decreased,Change in weather conditions,NA,272200,2019,POINT (-106.67 52.1332),2020-05-01T03:57:57.217
2019,35860,City of Dallas,Dallas,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,NA,Same- covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Clear Path from ICLEI was the primary tool used to develop the inventory.  This is consistent with the GPC.,,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Decreased,Other: Decreased emissions from electricity generation.  Also lower emissions from transportation,NA,1345047,2018,POINT (-96.8004 32.7801),2020-05-01T03:57:57.217
2019,58511,"City of Richmond, CA","Richmond, CA",United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2012-01-01 - 2012-12-31,NA,Same- covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),no comment,,"CH4, CO2, N20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,110146,2018,POINT (-122.348 37.9358),2020-05-01T03:57:57.217
2019,54518,City of Helsingborg,Helsingborg,Sweden,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2016-01-01 - 2016-12-31,NA,Same- covers entire city and nothing else,Regional or country specific methodology,"Sweden report national emissions of greenhouse gases to UNFCCC and CLRTAP every year according to established rules. These emissions are taken down at municipal level, mainly by the use of a ü??top downü?ù concept. The allocation of emissions to municipal level is carried out by a national network, SMED (www.smed.se). Short summary of the methodology: 1. The area within a municipality where a certain emission happens is mapped (for example pasture). 2. Statistics for activities related to the emissions are developed (for example the number of grazing animals). 3. Information in 1 and 2 are combined, and ü??multiplicationü?ù with  total emission at national level give the emission raster.",,"CH4, CO2, HFCs, N20, PFCs, SF6",73763,542765,13780,NA,NA,NA,NA,NA,NA,NA,NA,Decreased,Technological change,NA,145415,2018,,2020-05-01T03:57:57.217
2019,63562,"City of South Bend, IN",South Bend,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,NA,Same- covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",NA,3723299.07,NA,393977,NA,81378.88,NA,NA,NA,NA,NA,This is our first year of calculation,Other: First year of calculation,NA,102245,2017,POINT (41.6754 -86.2532),2020-05-01T03:57:57.217
2019,60114,City of Gdynia,Gdynia,Poland,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, Union of the Baltic Cities",public,,,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,246309,2018,POINT (18.5305 54.5189),2020-05-01T03:57:57.217
2019,73732,Monte Buey,,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2014-01-01 - 2014-12-31,NA,Same- covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Excel. Se utiliz?? la herramienta de c??lculo desarrollada por la Red Argentina de Municipios frente al Cambio Clim??tica, que fue dise?§ada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas.",Yes,"CH4, CO2, N20",0,42140.43,0,6327.84,0,970.59,NA,NA,NA,NA,NA,This is our first year of calculation,Other,NA,6285,2010,,2020-05-01T03:57:57.217
2019,59124,"City of Natchez, MS",Natchez,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,15500,2017,POINT (-91.4032 31.5604),2020-05-01T03:57:57.217
2019,46470,Ayuntamiento de Vitoria-Gasteiz,Vitoria-Gasteiz,Spain,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,NA,Larger- covers the whole city and adjoining areas,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,,"CH4, CO2, N20",NA,527184,NA,204695,NA,1664,NA,NA,NA,NA,NA,Decreased,Policy change,NA,251604,2018,POINT (-2.67 42.84),2020-05-01T03:57:57.217
2019,54706,Prefeitura Municipal de Boa Vista,Boa Vista,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,576568,2018,POINT (-60.6779 2.83067),2020-05-01T03:57:57.217
2019,73706,City of Alameda,Alameda,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,NA,Same- covers entire city and nothing else,,,,"CH4, CO2, N20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Increased,Increased energy/electricity consumption,NA,75961,2017,POINT (122.163 37.4522),2020-05-01T03:57:57.217
